Age,M,F
0-4,295306,280298
5-9,254643,241265
10-14,251814,239311
15-19,283862,271218
20-24,310800,295885
25-29,314493,297128
30-34,299552,284497
35-39,295976,283787
40-44,332714,321637
45-49,315010,300446
50-54,244152,237993
55-59,206661,211653
60-64,201300,216404
65-69,209430,236103
70-74,176239,213448
75-79,135141,185120
80-84,84885,138622
85-89,36856,76053
90-94,10507,27407
95-99,1625,5316
100+,123,460
